TimeStamps penX penY orAltitude orAzimuth orTwist pressure
1669004537166 1365 919 650 920 0 462
1669004537171 1364 923 650 920 0 462
1669004537177 1363 927 650 920 0 462
1669004537184 1363 929 650 920 0 462
1669004537189 1362 931 650 920 0 462
1669004537194 1362 931 650 920 0 462
1669004537199 1361 932 660 920 0 462
1669004537205 1361 932 660 920 0 463
1669004537211 1361 932 660 920 0 464
1669004537216 1361 932 660 920 0 465
1669004537221 1362 931 660 920 0 466
1669004537226 1362 930 660 920 0 467
1669004537233 1363 928 660 920 0 469
1669004537239 1364 925 660 920 0 471
1669004537243 1366 922 660 920 0 474
1669004537250 1369 918 660 920 0 477
1669004537255 1372 915 660 920 0 479
1669004537260 1376 912 660 920 0 482
1669004537266 1381 909 660 920 0 488
1669004537271 1385 907 660 920 0 493
1669004537277 1389 905 660 920 0 497
1669004537283 1392 905 660 920 0 499
1669004537288 1395 905 660 920 0 501
1669004537293 1398 906 660 920 0 503
1669004537300 1399 909 660 920 0 504
1669004537306 1400 913 660 920 0 510
1669004537311 1401 919 660 920 0 515
1669004537316 1401 926 660 920 0 520
1669004537321 1401 934 660 920 0 525
1669004537327 1401 942 660 920 0 530
1669004537333 1402 949 660 900 0 537
1669004537338 1403 957 660 900 0 545
1669004537343 1406 963 660 900 0 552
1669004537349 1408 970 660 900 0 557
1669004537354 1412 977 660 900 0 560
1669004537361 1416 983 660 900 0 561
1669004537367 1421 990 670 880 0 563
1669004537371 1427 996 670 880 0 566
1669004537376 1432 1002 670 880 0 568
1669004537383 1438 1009 670 880 0 571
1669004537388 1444 1015 670 850 0 576
1669004537394 1450 1022 670 850 0 579
1669004537399 1455 1029 670 850 0 580
1669004537404 1460 1035 670 850 0 581
1669004537410 1464 1042 680 830 0 582
1669004537416 1468 1048 680 830 0 582
1669004537421 1471 1054 680 830 0 582
1669004537426 1473 1060 680 830 0 582
1669004537434 1474 1066 680 830 0 584
1669004537438 1474 1072 680 800 0 586
1669004537443 1474 1076 680 800 0 589
1669004537449 1472 1081 680 800 0 591
1669004537456 1469 1085 680 800 0 591
1669004537460 1464 1088 680 780 0 591
1669004537466 1457 1091 680 780 0 591
1669004537471 1449 1094 680 780 0 591
1669004537476 1441 1096 680 780 0 591
1669004537483 1432 1098 680 780 0 589
1669004537488 1423 1100 670 750 0 588
1669004537493 1414 1101 670 750 0 585
1669004537499 1405 1102 670 750 0 579
1669004537504 1395 1103 660 760 0 575
1669004537510 1386 1103 660 740 0 567
1669004537517 1377 1103 660 740 0 554
1669004537521 1368 1102 660 740 0 538
1669004537527 1360 1099 660 740 0 522
1669004537533 1353 1096 660 740 0 499
1669004537539 1346 1092 660 740 0 474
1669004537543 1340 1088 660 740 0 444
1669004537549 1335 1082 660 760 0 405
1669004537555 1331 1076 660 760 0 350
1669004537560 1327 1069 660 760 0 286
1669004537566 1325 1063 650 770 0 213
1669004537571 1324 1057 660 790 0 150
1669004537578 1324 1052 660 790 0 24
1669004537583 1324 1052 660 790 0 0
1669004537589 1324 1043 650 790 0 0
1669004537593 1325 1039 650 790 0 0
1669004537600 1327 1036 650 810 0 0
1669004537606 1328 1032 650 810 0 0
1669004537611 1331 1028 650 810 0 0
1669004537616 1334 1024 650 810 0 0
1669004537628 1337 1020 650 810 0 0
1669004537629 1339 1017 650 810 0 0
1669004537633 1342 1015 650 810 0 0
1669004537638 1345 1013 650 810 0 317
1669004537643 1345 1013 650 810 0 317
1669004537650 1345 1013 650 810 0 422
1669004537655 1345 1013 650 810 0 452
1669004537660 1345 1013 650 810 0 488
1669004537666 1345 1013 650 810 0 528
1669004537671 1345 1013 650 810 0 555
1669004537678 1345 1013 650 810 0 574
1669004537683 1345 1013 660 810 0 591
1669004537688 1345 1013 660 810 0 608
1669004537693 1413 1013 660 810 0 623
1669004537699 1426 1011 670 810 0 636
1669004537706 1439 1009 670 810 0 645
1669004537710 1454 1007 670 810 0 655
1669004537717 1470 1005 670 810 0 669
1669004537721 1487 1003 680 800 0 675
1669004537727 1505 1001 680 800 0 678
1669004537733 1522 999 680 800 0 679
1669004537738 1539 997 680 800 0 678
1669004537743 1555 996 690 800 0 678
1669004537749 1569 996 690 800 0 678
1669004537754 1582 997 690 800 0 673
1669004537760 1593 998 690 800 0 660
1669004537767 1602 1001 700 790 0 635
1669004537771 1610 1003 700 790 0 609
1669004537782 1617 1006 700 790 0 574
1669004537784 1621 1009 690 760 0 521
1669004537788 1624 1012 690 760 0 450
1669004537794 1625 1014 690 760 0 347
1669004537800 1625 1017 690 760 0 154
1669004537805 1625 1017 690 760 0 0
1669004537810 1621 1019 690 740 0 0
1669004537816 1618 1020 690 740 0 0
1669004537821 1613 1021 690 740 0 0
1669004537827 1609 1021 690 740 0 0
1669004537834 1605 1022 690 740 0 0
1669004537838 1602 1022 680 720 0 0
1669004537844 1600 1023 680 720 0 0
1669004537849 1598 1025 680 720 0 0
1669004537855 1598 1026 680 720 0 0
1669004537860 1597 1028 680 720 0 0
1669004537866 1597 1031 680 700 0 0
