TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
1670502850031 1670502850030 278 656 600 930 0 0
1670502850037 1670502850035 278 656 600 930 0 316
1670502850042 1670502850040 278 656 600 930 0 316
1670502850048 1670502850045 278 656 600 950 0 437
1670502850053 1670502850050 278 656 600 950 0 469
1670502850059 1670502850055 278 656 600 950 0 504
1670502850065 1670502850065 278 656 600 950 0 533
1670502850070 1670502850070 278 656 600 950 0 556
1670502850076 1670502850075 278 656 600 950 0 572
1670502850081 1670502850080 278 656 600 970 0 582
1670502850087 1670502850085 278 656 600 970 0 588
1670502850093 1670502850090 278 656 610 970 0 595
1670502850098 1670502850095 279 656 610 970 0 603
1670502850103 1670502850100 280 656 610 970 0 610
1670502850109 1670502850105 281 657 610 970 0 617
1670502850115 1670502850115 282 657 610 970 0 622
1670502850120 1670502850120 284 657 610 970 0 627
1670502850126 1670502850125 285 657 610 970 0 633
1670502850131 1670502850130 287 657 620 970 0 638
1670502850136 1670502850135 289 658 620 970 0 641
1670502850143 1670502850140 292 658 620 970 0 643
1670502850148 1670502850145 294 657 620 970 0 646
1670502850153 1670502850150 297 657 620 970 0 649
1670502850159 1670502850155 300 656 630 1000 0 649
1670502850165 1670502850165 303 655 630 1000 0 650
1670502850170 1670502850170 306 654 630 1000 0 651
1670502850176 1670502850175 309 653 630 1000 0 651
1670502850181 1670502850180 312 653 630 1000 0 652
1670502850186 1670502850185 314 652 630 1000 0 652
1670502850192 1670502850190 317 651 630 1000 0 652
1670502850198 1670502850195 319 651 630 1000 0 652
1670502850203 1670502850200 321 650 640 1000 0 652
1670502850209 1670502850205 322 650 640 1000 0 652
1670502850214 1670502850210 323 650 640 1000 0 652
1670502850220 1670502850220 324 650 640 1000 0 652
1670502850226 1670502850225 325 650 640 1000 0 652
1670502850231 1670502850230 326 650 640 1000 0 652
1670502850236 1670502850235 326 651 640 1000 0 652
1670502850242 1670502850240 326 651 640 1000 0 652
1670502850248 1670502850245 326 651 640 1000 0 652
1670502850253 1670502850250 326 652 640 1000 0 652
1670502850259 1670502850255 326 652 640 1000 0 652
1670502850264 1670502850260 326 652 640 1000 0 649
1670502850270 1670502850270 325 652 640 1000 0 643
1670502850276 1670502850275 325 653 640 1000 0 634
1670502850281 1670502850280 324 653 640 1000 0 622
1670502850286 1670502850285 324 653 640 1000 0 604
1670502850293 1670502850290 323 653 640 1000 0 579
1670502850298 1670502850295 323 653 640 1000 0 551
1670502850303 1670502850300 322 654 640 1000 0 510
1670502850309 1670502850305 321 654 640 1000 0 457
1670502850314 1670502850310 320 654 640 1000 0 397
1670502850320 1670502850320 320 654 640 1000 0 316
1670502850326 1670502850325 319 655 640 1000 0 209
1670502850331 1670502850330 319 655 640 1000 0 89
1670502850336 1670502850335 319 655 630 1000 0 0
1670502850343 1670502850340 318 656 630 1000 0 0
1670502850348 1670502850345 317 656 630 1000 0 0
1670502850353 1670502850350 317 655 630 1000 0 0
1670502850359 1670502850355 317 655 630 1000 0 0
1670502850364 1670502850360 317 654 630 1000 0 0
1670502850376 1670502850375 317 654 630 1000 0 0
1670502850377 1670502850375 316 653 630 1000 0 0
1670502850381 1670502850380 316 653 630 1000 0 0
1670502850386 1670502850385 316 652 620 990 0 240
1670502850393 1670502850390 316 652 620 990 0 240
1670502850397 1670502850395 316 652 620 990 0 372
1670502850403 1670502850400 316 652 620 990 0 417
1670502850409 1670502850405 316 652 620 990 0 462
1670502850414 1670502850410 316 652 620 990 0 494
1670502850420 1670502850420 316 652 620 990 0 518
1670502850426 1670502850425 316 652 620 990 0 540
1670502850430 1670502850430 316 652 620 990 0 556
1670502850435 1670502850435 316 652 620 990 0 572
1670502850443 1670502850440 315 655 620 990 0 590
1670502850448 1670502850445 316 657 620 990 0 604
1670502850453 1670502850450 316 660 620 970 0 616
1670502850459 1670502850455 316 663 620 970 0 629
1670502850465 1670502850465 316 666 620 970 0 639
1670502850470 1670502850470 315 669 620 970 0 645
1670502850476 1670502850475 315 672 620 960 0 650
1670502850481 1670502850480 315 675 620 960 0 654
1670502850486 1670502850485 315 678 620 960 0 655
1670502850493 1670502850490 315 680 620 940 0 656
1670502850498 1670502850495 315 682 620 940 0 657
1670502850503 1670502850500 315 684 620 940 0 657
1670502850509 1670502850505 315 684 620 940 0 657
1670502850514 1670502850510 315 685 620 920 0 656
1670502850520 1670502850520 316 685 620 920 0 656
1670502850526 1670502850525 316 685 620 920 0 642
1670502850531 1670502850530 316 685 620 920 0 625
1670502850536 1670502850535 316 684 620 920 0 604
1670502850542 1670502850540 316 684 620 900 0 577
1670502850548 1670502850545 317 683 620 900 0 551
1670502850553 1670502850550 317 683 620 900 0 525
1670502850559 1670502850555 318 682 620 900 0 498
1670502850564 1670502850560 318 681 620 900 0 472
1670502850570 1670502850570 319 680 620 900 0 448
1670502850576 1670502850575 319 679 620 900 0 415
1670502850581 1670502850580 320 677 620 900 0 379
1670502850586 1670502850585 321 676 620 900 0 341
1670502850593 1670502850590 321 674 620 900 0 294
1670502850598 1670502850595 322 672 620 900 0 267
1670502850603 1670502850600 323 670 620 900 0 246
1670502850609 1670502850605 324 669 620 900 0 234
1670502850614 1670502850610 325 668 620 900 0 234
1670502850620 1670502850620 325 667 620 900 0 234
1670502850626 1670502850625 326 666 620 900 0 251
1670502850631 1670502850630 327 666 630 900 0 276
1670502850636 1670502850635 327 666 630 900 0 315
1670502850643 1670502850640 328 667 630 900 0 360
1670502850648 1670502850645 328 667 630 900 0 392
1670502850653 1670502850650 328 668 630 900 0 425
1670502850659 1670502850655 329 669 630 920 0 465
1670502850664 1670502850660 329 671 630 920 0 498
1670502850670 1670502850670 330 672 630 920 0 526
1670502850676 1670502850675 330 674 630 920 0 552
1670502850681 1670502850680 331 676 640 920 0 576
1670502850686 1670502850685 332 677 640 920 0 594
1670502850693 1670502850690 333 679 640 920 0 612
1670502850698 1670502850695 334 679 640 920 0 625
1670502850703 1670502850700 335 680 640 920 0 634
1670502850709 1670502850705 337 680 640 920 0 641
1670502850714 1670502850710 338 680 640 920 0 645
1670502850720 1670502850720 339 680 640 920 0 647
1670502850726 1670502850725 341 679 650 920 0 648
1670502850731 1670502850730 342 678 650 920 0 649
1670502850736 1670502850735 344 677 650 920 0 649
1670502850743 1670502850740 345 676 650 920 0 649
1670502850748 1670502850745 347 674 660 920 0 649
1670502850753 1670502850750 348 672 660 920 0 649
1670502850759 1670502850755 349 671 660 920 0 643
1670502850764 1670502850760 350 669 660 920 0 639
1670502850770 1670502850770 350 667 660 920 0 633
